"kinase","logFC","AveExpr","t","P.Value","adj.P.Val","B","kinase_FDR"
"CDK5",0.171820142257577,5.88744874809911,1.04734805504489,0.313059578891701,0.736372339074298,-5.93630105738255,0.749815166345947
"PLK1",0.17143377719897,6.88204422861885,1.04154918538639,0.315646676654251,0.73784525293977,-5.94217360733159,0.749815166345947
"EEF2K",-1.23437523038134,-0.181729804965506,-1.04117175899162,0.31581560092091,0.73784525293977,-5.94255486939757,0.749815166345947
"FYN",-0.190728636847063,4.03780322672558,-1.03452216252685,0.318802584946023,0.739857906249219,-5.9492527647041,0.749815166345947
"CDK18",-0.202022580207129,3.10151562226857,-1.03291896544027,0.319525806579776,0.740416984510058,-5.95086214038628,0.749815166345947
"TTK",0.243254391638544,4.61968143608803,1.03236913822259,0.319774115059301,0.740416984510058,-5.95141359687551,0.749815166345947
"ULK2",-0.499743847325373,2.7205709930957,-1.0230525119412,0.324002964903095,0.743486901885287,-5.96071973739869,0.752271346870938
"CDK19",-0.250284889882037,3.50242662235327,-1.02140430682267,0.324755291859394,0.744128031137358,-5.96235858514353,0.752271346870938
"CAMK1",-0.504301202688856,1.20899156917043,-1.01963826176477,0.32556280978028,0.744829274426807,-5.96411209589623,0.752271346870938
"MAPKAPK3",-0.137496383980067,5.41403654888806,-1.01447114605732,0.327933793136684,0.746278106595736,-5.96922761906835,0.754030932664389
"MAP3K1",-0.224989532748273,4.3519008838177,-1.00786172671682,0.330984721363296,0.74869088005172,-5.9757385633398,0.754030932664389
"MAP2K5",0.206546112955886,3.37584582879943,0.999933260210474,0.334671400041349,0.752167649085375,-5.98350066089757,0.754030932664389
"JAK1",0.1559117950538,7.39642818685732,0.996878029594732,0.336099890677609,0.752886614473678,-5.98647769981368,0.754030932664389
"EPHA4",0.375822767500036,3.32903543916611,0.995223937443759,0.336875089762481,0.754036377078185,-5.98808618444539,0.754030932664389
"STK35",0.15830396549423,4.02718702845002,0.994917811389957,0.337018697506387,0.754036377078185,-5.98838361736928,0.754030932664389
